Business Name,Customer Last Name,Customer First Name,Civic Nbr,Street,Location Latitude,Location Longitude,RFID,Capacity,Capacity Units,Color,Container Type,Manufacturer,Route 1,SeqNbr 1,Route 2,SeqNbr 2,Route 3,SeqNbr 3,Route 4,SeqNbr 4,Route 5,SeqNbr 5,Route 6,SeqNbr 6,Route 7,SeqNbr 7,Route 8,SeqNbr 8,Route 9,SeqNbr 9,Route 10,SeqNbr 10,Route 11,SeqNbr 11,Route 12,SeqNbr 12,Route 13,SeqNbr 13,Route 14,SeqNbr 14
CVM Main Building,CVM,Main Building,1060-B,William Moore Dr.,35.79882495,-78.70410156,FRR298881938a0000002,4,Yard,RED,DUMPSTER,WASTEQUIP,RThrWaste2,42,,,,,,,,,,,,,,,,,,,,,,,,,,
CVM Main Building,CVM,Main Building,1060-A,William Moore Dr.,35.80029521,-78.70428467,0000FRR224720827f000001f,8,Yard,BROWN,DUMPSTER,WASTEQUIP,RThrWaste2,43,RMonWaste1,44,,,,,,,,,,,,,,,,,,,,,,,,
CVM Main Building,CVM,Main Building,1060-B,William Moore Dr.,35.79882495,-78.70410156,0000FRR224720827f0000020,10,Yard,BROWN,DUMPSTER,WASTEQUIP,RFriWaste2,45,RSatWaste2,109,RTueWaste1,42,RWedWaste1,41,RThrWaste2,44,RMonWaste1,40,,,,,,,,,,,,,,,,
CVM Main Building,CVM,Main Building,1060-D,William Moore Dr.,35.79923089,-78.70430298,0000FRR22668195160000002,8,Yard,BROWN,DUMPSTER,WASTEQUIP,RMonSpot1,61,RWedSpot1,24,RFriSpot1,24,,,,,,,,,,,,,,,,,,,,,,
CVM Main Building,CVM,Main Building,1060-D,William Moore Dr.,35.79923089,-78.70430298,0000FRR22668195160000002,8,Yard,BROWN,DUMPSTER,WASTEQUIP,RMonSpot1,62,RWedSpot1,51,RFriSpot1,70,,,,,,,,,,,,,,,,,,,,,,
CVM Reproductive Lab,CVM, Reproductive Lab,1400,Blue Ridge Rd.,35.8005305,-78.706553,0000FRR2247806292000003b,8,Yard,GREEN,DUMPSTER,WASTEQUIP,RThrOcc1,34,,,,,,,,,,,,,,,,,,,,,,,,,,
CVM Reproductive Lab,CVM, Reproductive Lab,1400,Blue Ridge Rd.,35.8005305,-78.706553,0000FRR224720827f0000022,8,Yard,BROWN,DUMPSTER,WASTEQUIP,RThrWaste2,49,,,,,,,,,,,,,,,,,,,,,,,,,,
CVM Research Building,CVM,Research Building,1051,William Moore Dr.,35.7971616,-78.70545349,0000FRR2247806292000003c,8,Yard,GREEN,DUMPSTER,WASTEQUIP,RThrOcc1,30,,,,,,,,,,,,,,,,,,,,,,,,,,
CVM Research Building,CVM,Research Building,1051,William Moore Dr.,35.7971616,-78.70545349,0000FRR224720827f0000024,4,Yard,RED,DUMPSTER,WASTEQUIP,RThrWaste2,41,,,,,,,,,,,,,,,,,,,,,,,,,,
CVM Research Building,CVM,Research Building,1051,William Moore Dr.,35.7971616,-78.70545349,0000FRR224720827f0000023,8,Yard,BROWN,DUMPSTER,WASTEQUIP,RTueWaste1,41,RWedWaste1,38,RFriWaste2,42,RSatWaste2,105,RThrWaste2,42,RMonWaste1,38,,,,,,,,,,,,,,,,
